Pol	Godine	Visina	Tezina	Fizicka aktivnost	Sport	Minuti sporta	Ishrana	Kalorije	Voda
1	19	178	60	0		0	0	1800	1500
1	22	164	52	1	Fitnes, aerobik ili pilates	45	1	1000	1500
0	24	190	78	1	Trcanje	30	1	2000	2000
0	19	178	68	1	Atletika	180	0	2200	2000
1	20	159	54	1	Trcanje	30	0	1500	1000
1	22	163	60	0		0	0	1500	3000
1	20	165	61	1	Fitnes, aerobik ili pilates	60	0	3000	500
0	17	178	59	1	Teretana	30	0	2000	4000
1	20	164	69	0		10	0	1500	3000
1	19	175	73	0		0	0	2000	5000
1	20	156	50	1	Tenis	30	0	2200	500
1	20	171	60	1	Fitnes, aerobik ili pilates	120	0	1400	2000
1	20	165	53	1	Ples	240	1	2200	1000
1	21	166	57	0		0	0	2250	1000
0	21	180	79	0		0	0	3500	2000
1	19	165	55	0		0	0	1500	2000
0	25	193	92	1	Teretana	120	0	5000	3000
1	20	168	45	1	Vozim rolere	30	0	2000	1500
1	20	172	65	0		0	1	1500	2000
0	19	185	85	1	Trcanje	30	0	3500	3000
0	20	180	55	1	Trcanje	60	1	2000	4000
0	19	186	78	1	Kosarka	30	0	2000	3000
0	19	170	64	1	Trcanje	60	1	3000	1500
0	25	175	72	1	Teretana	20	1	1500	1000
0	25	175	72	1	Teretana	20	1	1500	1500
1	24	170	60	0		0	1	2000	1000
1	25	168	78	0		0	0	2000	2000
0	22	160	57	0		0	0	1800	1000
1	21	176	62	1	Fitnes, aerobik ili pilates	60	1	1800	2500
1	19	164	53	1	Trcanje	45	1	1600	1500
1	20	182	63	1	Teretana	60	0	2000	1500
1	24	166	60	0		0	1	1900	1500
0	22	189	94	1	Kosarka	90	0	3000	1500
1	20	180	63	1	Tenis	45	0	2000	1000
1	24	173	65	1	Fitnes, aerobik ili pilates	60	1	2000	3000
1	25	160	64	0		0	0	3000	2000
1	18	163	50	0		0	1	2000	2000
1	21	170	63	1	Fitnes, aerobik ili pilates	20	1	1000	3000
